ID,title,description,streetaddress,city,state,amenityfeatures,type,unclearaddress,notes,dateadded,lastmodified
136,Mini Adult Theater ,,7321 Collins,Miami Beach,FL,,Theater,,,9/25/2019 7:27am,12/18/2019 12:27pm
194,Gay Paree Cinema ,(Theatre),90 Walton St. N.W.,Atlanta,GA,,Theater,,,9/25/2019 8:21am,12/18/2019 12:26pm
395,Studio 9 Theatre,,4817 Bryan,Dallas,TX,,Theater,,,10/1/2019 4:19pm,12/18/2019 12:27pm
451,Mini Park Theatre ,,2907 S. Main St.,Houston,TX,,Theater,,,10/1/2019 4:42pm,12/18/2019 12:28pm
73,University Cigar &Newstand,(book store & beer tavern),18 W. University,Gainsville,FL,,Book Store,,,9/25/2019 6:54am,10/28/2019 9:40am
75,Books ’n Things ,,262 N. Federal Hwy,Hallandale,FL,,Book Store,,,9/25/2019 6:54am,10/28/2019 9:37am
482,Globe News Stand ,,204 E. Houston ,San Antonio,TX,,Book Store,,,10/1/2019 4:56pm,10/28/2019 9:38am
391,Metropolitan Community Church,,4015 Normandie ,Dallas,TX,,Church,,,10/1/2019 4:18pm,10/5/2019 1:05pm
322,Fiddlers Three,Park Central Hotel,209 E. 5th St.,Greenville,NC,"""(R) - Restaurant, usually serving dinner. A '*' after this symbol does not necessarily indicate quality of food served, but popularity of the place. "",(D) - Dancing,(*) - Very popular","Restaurant,Hotels",,,10/1/2019 3:39pm,12/7/2019 2:20pm
1,Pasquale’s Pizza,,174 E. Magnolia,Auburn,AL,"(M) - Mixed Crowds,""(R) - Restaurant, usually serving dinner. A '*' after this symbol does not necessarily indicate quality of food served, but popularity of the place. """,Restaurant,,,9/19/2019 10:54am,10/5/2019 12:23pm
5,Mammy’s Pancake House,,2151 Highland Ave. S.,Birmingham,AL,"(M) - Mixed Crowds,""(R) - Restaurant, usually serving dinner. A '*' after this symbol does not necessarily indicate quality of food served, but popularity of the place. """,Restaurant,,,9/19/2019 10:54am,10/5/2019 12:23pm
7,Pitt Grill,(after hours),2300 6th Ave. S.,Birmingham,AL,"(M) - Mixed Crowds,""(R) - Restaurant, usually serving dinner. A '*' after this symbol does not necessarily indicate quality of food served, but popularity of the place. "",""(C) - Coffee, soft drinks and sometimes snacks""",Restaurant,,,9/19/2019 10:54am,10/5/2019 12:23pm
8,Shoney’s ,(after hours),221 N. 20th ,Birmingham,AL,"(M) - Mixed Crowds,""(R) - Restaurant, usually serving dinner. A '*' after this symbol does not necessarily indicate quality of food served, but popularity of the place. """,Restaurant,,,9/19/2019 10:54am,10/5/2019 12:23pm
11,Why Not Eat Here Cafe,,2020 Moulton St.,Decatur,AL,(M) - Mixed Crowds,Restaurant,,,9/19/2019 10:54am,10/28/2019 9:37am
24,Mollie’s,,360 Central Ave.,Hot Springs,AK,"(M) - Mixed Crowds,""(R) - Restaurant, usually serving dinner. A '*' after this symbol does not necessarily indicate quality of food served, but popularity of the place. """,Restaurant,,,9/19/2019 10:54am,10/5/2019 12:23pm
71,Waffle House ,(after hours),S. 1st St. at Hanson,Ft. Myers,FL,"(M) - Mixed Crowds,""(C) - Coffee, soft drinks and sometimes snacks"",""(R) - Restaurant, usually serving dinner. A '*' after this symbol does not necessarily indicate quality of food served, but popularity of the place. """,Restaurant,,,9/25/2019 6:54am,10/28/2019 9:35am
86,Patricia’s,Gator Lodge,4141 Phillips Hwy.,Jacksonville,FL,"(M) - Mixed Crowds,""(R) - Restaurant, usually serving dinner. A '*' after this symbol does not necessarily indicate quality of food served, but popularity of the place. "",""(C) - Coffee, soft drinks and sometimes snacks""",Restaurant,,,9/25/2019 6:58am,10/5/2019 12:23pm
99,"
  Cactus Lounge 
  ",,2041 N.E. Biscayne Blvd. ,Miami,FL,"""(R) - Restaurant, usually serving dinner. A '*' after this symbol does not necessarily indicate quality of food served, but popularity of the place. "",(*) - Very popular",Restaurant,,,9/25/2019 7:07am,10/28/2019 9:35am
100,"
  Candlelight 
  ",(Coconut Grove),3131 Commodore Plaza,Miami,FL,"(M) - Mixed Crowds,(PE) - Pretty elegant - jacket & tie may be required,""(R) - Restaurant, usually serving dinner. A '*' after this symbol does not necessarily indicate quality of food served, but popularity of the place. """,Restaurant,,,9/25/2019 7:07am,10/28/2019 9:35am
102,"
  Country Store 
  ",(Coconut Grove),2880 Florida Ave.,Miami,FL,"(M) - Mixed Crowds,(PE) - Pretty elegant - jacket & tie may be required,""(R) - Restaurant, usually serving dinner. A '*' after this symbol does not necessarily indicate quality of food served, but popularity of the place. """,Restaurant,,,9/25/2019 7:07am,10/28/2019 9:35am
110,Hamlet ,(Coconut Grove),3416 Main Hwy.,Miami,FL,"""(R) - Restaurant, usually serving dinner. A '*' after this symbol does not necessarily indicate quality of food served, but popularity of the place. "",(*) - Very popular",Restaurant,,,9/25/2019 7:10am,10/5/2019 12:24pm
114,Little Tiki ,,168 Coral Way,Miami,FL,"""(G) - Girls, but seldom exclusively"",""(R) - Restaurant, usually serving dinner. A '*' after this symbol does not necessarily indicate quality of food served, but popularity of the place. "",(*) - Very popular",Restaurant,,,9/25/2019 7:10am,10/5/2019 12:24pm
