ID,title,description,streetaddress,city,state,amenityfeatures,type,unclearaddress,notes,dateadded,lastmodified
4,Pasquale’s Pizza,(No booze),174 E. Magnolia,Auburn,AL,(M) - Mixed - Some Straights ,Restaurant,,,10/10/2019 10:47am,10/28/2019 9:58am
5,Pete’s ,,816 Opalika Rd.,Auburn,AL,"(M) - Mixed - Some Straights ,""(R) - Restaurant, usually serving dinner. A '*' after this symbol does not necessarily indicate quality of food served, but popularity of the place. """,Restaurant,,,10/10/2019 10:47am,10/28/2019 9:53am
6,Belle Watling’s ,(Disco) (Lunches),607 N. 21st St. ,Birmingham,AL,"(*) - Very popular,(YC) - Young and/or collegiate types,(D) - Dancing,""(R) - Restaurant, usually serving dinner. A '*' after this symbol does not necessarily indicate quality of food served, but popularity of the place. """,Restaurant,,,10/10/2019 10:47am,10/28/2019 9:53am
7,Birmingham Adult Books & Cinema,,7610 1st Ave. N. ,Birmingham,AL,(M) - Mixed - Some Straights ,Book Store,,,10/10/2019 10:47am,10/28/2019 9:48am
8,Circus Lounge ,(Disco) ( AH on Sat. & all day Sunday *),219 S. 20th St. ,Birmingham,AL,"(P) - Private club - Inquire locally to admission,(D) - Dancing,(AH) - After Hours,(*) - Very popular",Bars/Clubs,,,10/10/2019 10:47am,12/18/2019 3:45pm
10,Gizmo,,909 S. 22nd St.,Birmingham,AL,"(M) - Mixed - Some Straights ,(OC) - Older/More Mature Crowd,(D) - Dancing",Bars/Clubs,,,10/10/2019 10:47am,10/28/2019 10:06am
11,Redmont Hotel Lounge ,,5th Ave. N. 22nd St.,Birmingham,AL,"(M) - Mixed - Some Straights ,(RT) - 'Raunchy types' - downtown type places - often hustlers,(B) - Blacks frequent,(PT) - Pool Table","Hotels,Bars/Clubs",,,10/10/2019 10:47am,10/28/2019 9:44am
12,Steak ‘n’ Eggs,,1717 10th Ave. S.,Birmingham,AL,"(M) - Mixed - Some Straights ,""(R) - Restaurant, usually serving dinner. A '*' after this symbol does not necessarily indicate quality of food served, but popularity of the place. "",""(C) - Coffee, soft drinks and sometimes snacks"",(AH) - After Hours",Restaurant,,,10/10/2019 10:47am,10/28/2019 9:53am
13,Tomkat Adult Theatre,,9221 Todd Dr.,Birmingham,AL,,Theatre,,,10/10/2019 10:47am,10/28/2019 9:56am
15,Classic Adult Center ,(peep shows),425 19th St. N.,Birmingham,AL,Cruisy Area,"Cruising Areas,Theatre",,,10/10/2019 10:47am,12/18/2019 3:45pm
23,Pitt Grill ,(Late),400 E. Tennessee ,Florence,AL,"(M) - Mixed - Some Straights ,""(R) - Restaurant, usually serving dinner. A '*' after this symbol does not necessarily indicate quality of food served, but popularity of the place. "",""(C) - Coffee, soft drinks and sometimes snacks""",Restaurant,,,10/10/2019 10:48am,10/28/2019 9:53am
26,J. B.’s Yumm Yumm Tree ,(Disco) (Some (G)) (Next to Catalina Motel),5009 Governor’s Dr. ,Huntsville,AL,"(*) - Very popular,(D) - Dancing,""(G) - Girls/Ms, but seldom exclusively""","Hotels,Bars/Clubs",,,10/10/2019 10:48am,12/18/2019 3:45pm
30,Central Cafe ,(‘Market Place’) (Dull)  ,Springhill & Dauphin,Mobile,AL,,Restaurant,,,10/10/2019 10:48am,10/28/2019 9:58am
31,Fireside,(Cruisy),54 S. Conception,Mobile,AL,"(*) - Very popular,(D) - Dancing","Bars/Clubs,Cruising Areas",,,10/10/2019 10:48am,12/18/2019 3:45pm
32,French Quarter,(Disco) Some G),215 Conti St.,Mobile,AL,"(*) - Very popular,(YC) - Young and/or collegiate types,(S) - Shows - impersonators or record pantomime acts - often touristy,""(G) - Girls/Ms, but seldom exclusively""",Bars/Clubs,,,10/10/2019 10:48am,12/18/2019 3:44pm
33,Society Lounge ,(Some G) (Cruisy),53 Conception,Mobile,AL,"(S) - Shows - impersonators or record pantomime acts - often touristy,(WE) - Weekends,(*) - Very popular,""(G) - Girls/Ms, but seldom exclusively""","Bars/Clubs,Cruising Areas",,,10/10/2019 10:48am,12/18/2019 3:44pm
34,Tei-Jai Lounge ,,301 St. Francis,Mobile,AL,,Bars/Clubs,,,10/10/2019 10:48am,10/28/2019 10:06am
37,AM-Vets Club,,207 Lee St.,Montgomery,AL,"(M) - Mixed - Some Straights ,""(R) - Restaurant, usually serving dinner. A '*' after this symbol does not necessarily indicate quality of food served, but popularity of the place. "",""(C) - Coffee, soft drinks and sometimes snacks"",(AH) - After Hours",Restaurant,,,10/10/2019 10:48am,10/28/2019 9:53am
38,Dexter Pub,,207 Dexter. Ave.,Montgomery,AL,"(D) - Dancing,(OC) - Older/More Mature Crowd",Bars/Clubs,,,10/10/2019 10:48am,10/28/2019 10:06am
39,Forum Books ,(peep shows – ‘flicks’),19 S. Lawrence St.,Montgomery,AL,,Book Store,,,10/10/2019 10:48am,12/18/2019 3:44pm
40,Rainbow,(Disco),305 Randolph St.,Montgomery,AL,"(*) - Very popular,(YC) - Young and/or collegiate types,(D) - Dancing,(S) - Shows - impersonators or record pantomime acts - often touristy,(BYOB) - Bring your own bottle",Bars/Clubs,,,10/10/2019 10:48am,10/28/2019 10:06am
43,Chucker’s ,,2121 6th St.,Tuscaloosa,AL,"(YC) - Young and/or collegiate types,(D) - Dancing,(*) - Very popular",Bars/Clubs,,,10/10/2019 11:35am,10/28/2019 10:06am
44,Mrs. Todd’s ,,University Blvd.,Tuscaloosa,AL,"(M) - Mixed - Some Straights ,""(R) - Restaurant, usually serving dinner. A '*' after this symbol does not necessarily indicate quality of food served, but popularity of the place. "",""(C) - Coffee, soft drinks and sometimes snacks""",Restaurant,,,10/10/2019 11:35am,10/28/2019 9:53am
45,Silver Dollar Bar,,2311 7th St.,Tuscaloosa,AL,(M) - Mixed - Some Straights ,Bars/Clubs,,,10/10/2019 11:35am,10/28/2019 10:06am
50,French Quarter,(Downstairs),Old New Orleans Hotel,Eureka Springs,AK,(M) - Mixed - Some Straights ,"Bars/Clubs,Hotels",,,10/10/2019 11:46am,12/18/2019 1:31pm
51,Log Cabin Inn & Country Store,,42 Kings Highway,Eureka Springs,AK,"(M) - Mixed - Some Straights ,""(H) - Hotel, motel, or other overnight accomodations"",""(R) - Restaurant, usually serving dinner. A '*' after this symbol does not necessarily indicate quality of food served, but popularity of the place. ""","Restaurant,Hotels",,,10/10/2019 11:46am,12/18/2019 1:31pm
52,Brass Monkey,,39 E. Center St. ,Fayetteville,AK,"(M) - Mixed - Some Straights ,(YC) - Young and/or collegiate types,(D) - Dancing,(E) - Entertainment,(*) - Very popular",Bars/Clubs,,,10/10/2019 11:46am,10/28/2019 10:06am
53,George Majestic,(Back area),519 W. Dickinson St. ,Fayetteville,AK,(M) - Mixed - Some Straights ,Bars/Clubs,,,10/10/2019 11:46am,10/28/2019 10:06am
54,Bonnie’s Lounge ,(Many G),600 N. 10th St. ,Ft. Smith,AK,"(S) - Shows - impersonators or record pantomime acts - often touristy,(WE) - Weekends,(*) - Very popular",Bars/Clubs,,,10/10/2019 11:46am,10/28/2019 10:06am
55,Hi-Camp Lounge,(Some G) ,802 N. 10th St. ,Ft. Smith,AK,"(YC) - Young and/or collegiate types,(D) - Dancing,""(G) - Girls/Ms, but seldom exclusively""",Bars/Clubs,,,10/10/2019 11:46am,12/18/2019 3:44pm
59,Norma Kristie’s ,(Some G),220 Central Ave. ,Hot Springs,AK,"""(G) - Girls/Ms, but seldom exclusively""",Bars/Clubs,,,10/10/2019 11:46am,12/18/2019 3:44pm
