ID,title,description,streetaddress,city,state,amenityfeatures,type,unclearaddress,notes,dateadded,lastmodified
78,Hollywood Lounge ,,415 Main St.,Daytona Beach,FL,,Bars/Clubs,,,12/3/2019 10:56am,12/18/2019 1:28pm
71,Brass Ass ,,28 No. Grandview,Daytona Beach,FL,"(PT) - Pool Table,(*) - Very popular",Bars/Clubs,,,12/3/2019 10:56am,12/18/2019 1:28pm
82,Zodiac Lounge ,(Disco) (Some G) (So. Daytona Beach) ,1654 So Ridgewood,Daytona Beach,FL,"(*) - Very popular,(YC) - Young and/or collegiate types,(D) - Dancing,(S) - Shows - impersonators or record pantomime acts - often touristy,""(G) - Girls/Ms, but seldom exclusively""",Bars/Clubs,,,12/3/2019 11:03am,12/18/2019 1:28pm
86,Adult Entertainment Center ,(‘wild back room’) ,2900 No. Federal Hwy. ,Ft. Lauderdale,FL,,Cruising Areas,,,12/3/2019 11:03am,12/18/2019 1:28pm
92,Dog House ,Next to Tacky’s ,2500 Broward ,Ft. Lauderdale,FL,"(S) - Shows - impersonators or record pantomime acts - often touristy,(D) - Dancing,(PT) - Pool Table,(AH) - After Hours",Bars/Clubs,,,12/3/2019 11:03am,12/18/2019 1:28pm
93,Everglades ,(So. Federal Hwy.) ,1931 S.E. 6th Ave. ,Ft. Lauderdale,FL,"(W) - Western or coyboy types,(PT) - Pool Table,(*) - Very popular",Bars/Clubs,,,12/3/2019 11:03am,12/18/2019 1:28pm
95,"
  Grotto 
  ",,1914 E. Oakland,Ft. Lauderdale,FL,"(OC) - Older/More Mature Crowd,(D) - Dancing",Bars/Clubs,,,12/3/2019 11:08am,12/18/2019 1:28pm
103,"
  Odds & Ends 
  ",(Many G) ,3148 N.E. 12th Ave. ,Ft. Lauderdale,FL,"(*) - Very popular,""(G) - Girls/Ms, but seldom exclusively""",Bars/Clubs,,,12/3/2019 11:11am,12/18/2019 1:28pm
105,"
  Saloon
  ",(Thru arcade) ,219 S.W. 1st Ave. ,Ft. Lauderdale,FL,"(OC) - Older/More Mature Crowd,(*) - Very popular",Bars/Clubs,,,12/3/2019 11:11am,12/18/2019 1:28pm
106,"
  Tacky’s 
  ",(Levi & W) (Sunday brunch) (Next to Jaybird News)  ,2509 W. Broward Bl. ,Ft. Lauderdale,FL,"(*) - Very popular,(PT) - Pool Table,(W) - Western or coyboy types",Bars/Clubs,,,12/3/2019 11:11am,12/18/2019 1:28pm
111,"
  Zanzibar 
  ",,214 S. W. 1st Ave. ,Ft. Lauderdale,FL,(OC) - Older/More Mature Crowd,Bars/Clubs,,,12/3/2019 11:11am,12/18/2019 1:28pm
110,"
  Waynesart
  ",(unusual statues) (see ad for brochure) ,28 S. E. 9th St. ,Ft. Lauderdale,FL,,Bars/Clubs,,,12/3/2019 11:11am,12/18/2019 1:28pm
109,"
  Tony's Villa 
  ",(Italian R) ,2468 Wilton Manor Rd. ,Ft. Lauderdale,FL,"(M) - Mixed - Some Straights ,""(R) - Restaurant, usually serving dinner. A '*' after this symbol does not necessarily indicate quality of food served, but popularity of the place. """,Restaurant,,,12/3/2019 11:11am,12/18/2019 1:27pm
117,Jr’s Game Room ,,2002 No. Federal Hwy.  ,Ft. Pierce,FL,"(PT) - Pool Table,(*) - Very popular",Bars/Clubs,,,12/3/2019 11:15am,12/18/2019 1:28pm
123,Melody Club ,(Disco) ,4130 N. W. 6th St. ,Gainsville,FL,"(*) - Very popular,(YC) - Young and/or collegiate types,(D) - Dancing,(S) - Shows - impersonators or record pantomime acts - often touristy",Bars/Clubs,,,12/3/2019 11:15am,12/18/2019 1:27pm
116,Club ,,1514 Jackson ,Ft. Myers,FL,"(P) - Private club - Inquire locally to admission,(YC) - Young and/or collegiate types,(D) - Dancing,(PT) - Pool Table,(BYOB) - Bring your own bottle,(*) - Very popular",Bars/Clubs,,,12/3/2019 11:15am,12/18/2019 1:27pm
124,Witch Hazel's ,,203 N.W. 6th St. ,Gainsville,FL,"(YC) - Young and/or collegiate types,(D) - Dancing,(*) - Very popular",Bars/Clubs,,,12/3/2019 11:15am,12/18/2019 1:27pm
132,Executive Room ,(open until 6 a.m. - best late) (Dixie  ,715 S. W. 21st Ave.  ,Hollywood,FL,"(S) - Shows - impersonators or record pantomime acts - often touristy,(*) - Very popular",Bars/Clubs,,,12/3/2019 11:19am,12/18/2019 1:27pm
134,Road House ,(Disco),2100 No. Dixie Hwy. ,Hollywood,FL,(D) - Dancing,Bars/Clubs,,,12/3/2019 11:19am,12/18/2019 1:27pm
131,J.P.’s ,(Some G) (best late) ,1795 Okeechobee Rd. ,Hialeah,FL,"(M) - Mixed - Some Straights ,(S) - Shows - impersonators or record pantomime acts - often touristy,(*) - Very popular,""(G) - Girls/Ms, but seldom exclusively""",Bars/Clubs,,,12/3/2019 11:19am,12/18/2019 1:27pm
136,Back Door ,(Disco) ,6644 Arlington Rd. ,Jacksonville,FL,"(YC) - Young and/or collegiate types,(D) - Dancing,(*) - Very popular",Bars/Clubs,,,12/3/2019 11:19am,12/18/2019 1:27pm
137,Brothers ,(Disco),484 Main St. ,Jacksonville,FL,"(YC) - Young and/or collegiate types,(D) - Dancing,(*) - Very popular",Bars/Clubs,,,12/3/2019 11:19am,12/18/2019 1:27pm
129,Keith’s Cruise Room ,(Disco) (open until 6 a.m. - best late) (some B) (Old Dixie Hwy. ,813 S.E. 1st Ave.  ,Hallandale,FL,"(YC) - Young and/or collegiate types,(D) - Dancing,(B) - Blacks frequent","Bars/Clubs,Cruising Areas",,,12/3/2019 11:19am,12/18/2019 3:46pm
149,Bo’s Crowbar,,504 No. 1st St.,Jacksonville Beach,FL,"(YC) - Young and/or collegiate types,(D) - Dancing,(PT) - Pool Table,(*) - Very popular",Bars/Clubs,,,12/3/2019 11:24am,12/18/2019 1:27pm
