ID,title,description,streetaddress,city,state,amenityfeatures,type,unclearaddress,notes,dateadded,lastmodified
1,Golden Torch,,1915 5th Ave N. ,Birmingham,AL,(*) - Very popular,Bars/Clubs,,,8/13/2019 10:31am,8/13/2019 10:35am
2,Jewel Box,Dinkler-Tutwiler Hotel,20th St & 5th Ave N. ,Birmingham,AL,"(M) - Mixed Crowds,(PE) - Pretty elegant - jacket & tie may be required",Bars/Clubs,,,8/13/2019 10:31am,8/13/2019 10:35am
3,Mammy's Pancake House,,2151 Highland Ave S. ,Birmingham,AL,"""(C) - Coffee, soft drinks and sometimes snacks""",Restaurant,,,8/13/2019 10:31am,8/13/2019 10:35am
4,Tito's,,1310 1st Ave N. ,Birmingham,AL,(D) - Dancing,Bars/Clubs,,,8/13/2019 10:31am,8/13/2019 10:35am
5,Club Royal,,78 S. Royal,Mobile,AL,(M) - Mixed Crowds,Bars/Clubs,,,8/13/2019 10:31am,8/13/2019 10:35am
6,Flamingo Room,Mobile Steak House,,Mobile,AL,,Bars/Clubs,checked,,8/13/2019 10:31am,8/13/2019 10:35am
7,Knight Club,,215 Conti St. ,Mobile,AL,(*) - Very popular,Bars/Clubs,,,8/13/2019 10:31am,8/13/2019 10:35am
8,Princess House Lounge,,254 Government St ,Mobile,AL,(*) - Very popular,Bars/Clubs,,,8/13/2019 10:31am,8/13/2019 10:35am
9,Exchange Bar ,Exchange Hotel,,Montgomery,AL,,Bars/Clubs,checked,,8/13/2019 10:31am,8/13/2019 11:18am
10,Key Hole,,80 Commerce St,Montgomery,AL,,Bars/Clubs,,,8/13/2019 10:31am,8/13/2019 10:36am
11,Chucker,"(Downstairs, Stafford Hotel)",3209 9th ,Tuscaloosa,AL,,Bars/Clubs,,,8/13/2019 10:31am,8/13/2019 10:36am
12,Mollie's,,360 Central Ave,Hot Springs,AR,"""(R) - Restaurant, usually serving dinner. A '*' after this symbol does not necessarily indicate quality of food served, but popularity of the place. "",(M) - Mixed Crowds",Restaurant,,,8/13/2019 10:31am,8/13/2019 11:51pm
13,Peacock Lounge,,220 Central Ave,Hot Springs,AR,,Bars/Clubs,,,8/13/2019 10:31am,8/13/2019 11:51pm
14,Gar Hole,(Thru lobby of Marion Hotel & downstairs),Markham & Louisana,Little Rock,AR,,Bars/Clubs,,,8/13/2019 10:31am,8/13/2019 11:51pm
15,Red Barn,(Thru bar in back room),On hwy to Little Rock (U.S. 67),Texarcana,AR,(M) - Mixed Crowds,Bars/Clubs,checked,,8/13/2019 10:31am,8/13/2019 11:51pm
16,Nightengale ,,24 S. Garden Ave,Clearwater,FL,,Bars/Clubs,,,8/13/2019 10:31am,8/13/2019 10:46am
17,Ocean Grill,"(summers)
",14 Kendall St,Clearwater,FL,,Bars/Clubs,,,8/13/2019 10:31am,8/13/2019 10:46am
18,State Bar,,Garden Ave S. ,Clearwater,FL,(M) - Mixed Crowds,Bars/Clubs,checked,,8/13/2019 10:31am,8/13/2019 10:46am
19,Keg Bar Hwy,,AIA at Rt 520,Cocoa Beach,FL,,Bars/Clubs,checked,,8/13/2019 10:31am,8/13/2019 10:46am
20,White Caps,Inquire Locally,,Cocoa Beach,FL,,Bars/Clubs,checked,,8/13/2019 10:31am,8/13/2019 10:46am
21,Hollywood Bar,,415 Main St,Daytona Beach,FL,"""(G) - Girls, but rarely exclusively"",(S) - Shows - impersonators or record pantomime acts - often touristy",Bars/Clubs,,,8/13/2019 10:31am,8/13/2019 10:46am
22,Vagabond Hut,,7 Boardwalk,Daytona Beach,FL,(M) - Mixed Crowds,Bars/Clubs,,,8/13/2019 10:31am,8/13/2019 10:46am
23,Yum Yum Tree,(Hwy 1 in Holly Hill),703 Ridgewood,Daytona Beach,FL,(*) - Very popular,Bars/Clubs,,,8/13/2019 10:31am,8/13/2019 10:46am
24,Elbo Room,"(Ft. Lauderdale Beach)
",241 S. Atlantic ,Ft. Lauderdale,FL,"(YC) - Young and/or collegiate types,(M) - Mixed Crowds",Bars/Clubs,,,8/13/2019 10:31am,8/13/2019 10:46am
25,Everglades,,U.S. Hwy 1,Ft. Lauderdale,FL,,Bars/Clubs,checked,,8/13/2019 10:31am,8/13/2019 10:46am
