ID,title,description,streetaddress,city,state,amenityfeatures,type,unclearaddress,notes,dateadded,lastmodified
4,Darvo's,(Very M) (Disco) (Could 'pick up'),167 S. Gay St.,Auburn,AL,"(M) - Mixed Crowds - Some Straights,(YC) - Young and/or collegiate types,(D) - Dancing",Bars/Clubs,,,9/9/2019 2:38pm,9/9/2019 2:53pm
6,Haley Center,"(4th floor T-Room) & Stanford Park nr. Langton Hall (Auburn Univ)
",,Auburn,AL,Cruisy Area,Cruising Areas,,,9/9/2019 2:38pm,9/9/2019 2:55pm
7,Bell Watling's,"(Disco) (2 bars)
",607 N. 21st St.,Birmingham,AL,"(*) - Very popular,(YC) - Young and/or collegiate types,(D) - Dancing,(S) - Shows - impersonators or record pantomime acts - often touristy",Bars/Clubs,,,9/9/2019 2:38pm,9/9/2019 2:56pm
8,Birmingham Adult Books & Cinema,,7610 1st Ave. N.,Birmingham,AL,(M) - Mixed Crowds - Some Straights,"Book Store,Theatre",,,9/9/2019 2:38pm,9/9/2019 2:56pm
9,Focus Phase II,(Many L) (Disco) (Popular on weekends),117 N. 21st St.,Birmingham,AL,"""(L) - Ladies/Ms, but seldom exclusively unless noted"",(S) - Shows - impersonators or record pantomime acts - often touristy,(W) - Western or coyboy types,(*) - Very popular,(AYOR) -  At Your Own Risk - Dangerous - Usually Fuzz",Bars/Clubs,,,9/9/2019 2:38pm,9/9/2019 2:57pm
10,Gizmo ,"Popular After hours
",909 S. 22nd St.,Birmingham,AL,"(P) - Private club - Inquire locally to admission,(M) - Mixed Crowds - Some Straights,(OC) - Older/More Mature Crowd,(D) - Dancing,(WE) = Weekends,(AH) - After Hours,(*) - Very popular",Bars/Clubs,,,9/9/2019 2:38pm,9/9/2019 2:59pm
11,Lighthouse,"(Disco)
",1909 1st Ave. S. ,Birmingham,AL,"(YC) - Young and/or collegiate types,(D) - Dancing,(*) - Very popular",Bars/Clubs,,,9/9/2019 2:38pm,9/9/2019 2:59pm
14,Steak 'n' Eggs,,1717 10th Ave. S.,Birmingham,AL,"(M) - Mixed Crowds - Some Straights,""(R) - Restaurant, usually serving dinner. A '*' after this symbol does not necessarily indicate quality of food served, but popularity of the place. "",""(C) - Coffee, soft drinks and sometimes snacks"",(AH) - After Hours",Restaurant,,,9/9/2019 2:38pm,9/9/2019 3:00pm
23,Pitt Grill,"(Late)
",400 E. Tennessee,Florence,AL,"(M) - Mixed Crowds - Some Straights,""(R) - Restaurant, usually serving dinner. A '*' after this symbol does not necessarily indicate quality of food served, but popularity of the place. "",""(C) - Coffee, soft drinks and sometimes snacks""",Restaurant,,,9/9/2019 2:38pm,9/9/2019 3:04pm
26,Hideaway,(Some L) (Disco),2011 Cox Ave.,Huntsville,AL,"(YC) - Young and/or collegiate types,(D) - Dancing,""(L) - Ladies/Ms, but seldom exclusively unless noted"",(*) - Very popular",Bars/Clubs,,,9/9/2019 2:38pm,9/11/2019 9:15am
27,J.B.'s Yumm Yumm Tree,(Disco) (Some L) (Next to Catalina Motel),5099 Governors Dr.,Huntsville,AL,"(*) - Very popular,(YC) - Young and/or collegiate types,(D) - Dancing,""(L) - Ladies/Ms, but seldom exclusively unless noted""",Bars/Clubs,,,9/9/2019 2:38pm,9/11/2019 9:15am
34,Crews Pub,(Cruisy),301 St. Francis,Mobile,AL,"(P) - Private club - Inquire locally to admission,(PT) - Pool Table,(*) - Very popular","Bars/Clubs,Cruising Areas",,,9/9/2019 2:38pm,9/15/2019 10:02pm
35,Fireside,(Cruisy),54 S. Conception,Mobile,AL,"(*) - Very popular,(D) - Dancing","Bars/Clubs,Cruising Areas",,,9/9/2019 2:38pm,9/15/2019 10:02pm
36,French Quarter,(Some L) (Disco),215 Conti St.,Mobile,AL,"(*) - Very popular,(YC) - Young and/or collegiate types,(D) - Dancing,(S) - Shows - impersonators or record pantomime acts - often touristy,""(L) - Ladies/Ms, but seldom exclusively unless noted""",Bars/Clubs,,,9/9/2019 2:38pm,9/11/2019 12:26pm
37,Society Lounge,"(Disco) (Many L, B)",53 Conception,Mobile,AL,"(D) - Dancing,(S) - Shows - impersonators or record pantomime acts - often touristy,""(L) - Ladies/Ms, but seldom exclusively unless noted"",(B) - Blacks frequent",Bars/Clubs,,,9/9/2019 2:38pm,9/11/2019 12:26pm
42,Ce-Ray's Corral,(Disco) (Adm),2015 Federal Dr.,Montgomery,AL,"(P) - Private club - Inquire locally to admission,(M) - Mixed Crowds - Some Straights,(YC) - Young and/or collegiate types,(D) - Dancing,(S) - Shows - impersonators or record pantomime acts - often touristy,(PT) - Pool Table,(*) - Very popular",Bars/Clubs,,,9/9/2019 2:38pm,9/11/2019 12:40pm
43,Dexter Pub,,207 Dexter Ave.,Montgomery,AL,"(D) - Dancing,(OC) - Older/More Mature Crowd",Bars/Clubs,,,9/9/2019 2:38pm,9/11/2019 12:40pm
44,Forum Books,"(peep shows - 'flicks')
",19 S. Lawrence St.,Montgomery,AL,(*) - Very popular,Book Store,,,9/9/2019 2:38pm,9/11/2019 12:29pm
