ID,title,description,streetaddress,city,state,amenityfeatures,type,unclearaddress,notes,dateadded,lastmodified
2,Golden Torch,,1915 5th Ave. N.,Birmingham,AL,,,,,8/29/2019 1:15pm,8/29/2019 1:19pm
3,Jewel Box,Dinkler-Tutwiler Hotel,2001 5th Ave N. ,Birmingham,AL,"(M) - Mixed Crowds,(PE) - Pretty elegant - jacket & tie may be required","Hotels,Bars/Clubs",,,8/29/2019 1:15pm,8/29/2019 1:20pm
4,Mammy's Pancake House,,2151 Highland Ave S.,Birmingham,AL,"""(R) - Restaurant, usually serving dinner. A '*' after this symbol does not necessarily indicate quality of food served, but popularity of the place. "",""(C) - Coffee, soft drinks and sometimes food -- usually open late after bars have closed""",Restaurant,,,8/29/2019 1:15pm,8/29/2019 1:20pm
8,Tito's ,(semi-private),1310 1st Ave. N. ,Birmingham,AL,"(S) - Shows - impersonators or record pantomime acts - often touristy,(D) - Dancing,(YC) - Young and/or collegiate types",Bars/Clubs,,,8/29/2019 1:15pm,8/29/2019 1:20pm
6,Pitt Grill,(after hours),2300 6th Ave S.  ,Birmingham,AL,"""(C) - Coffee, soft drinks and sometimes food -- usually open late after bars have closed""",Restaurant,,,8/29/2019 1:15pm,8/29/2019 1:24pm
7,Red Room,Redmont Hotel,2101 5th Ave. N. ,Birmingham,AL,,"Hotels,Bars/Clubs",,,8/29/2019 1:15pm,8/29/2019 1:20pm
5,Outer Focus,,2900 7th Ave. S. ,Birmingham,AL,"(B) - Blacks predominate,(*) - Very popular",Bars/Clubs,,,8/29/2019 1:15pm,8/29/2019 1:24pm
9,Heart of Dothan Motel Bar,,314 N. Foster,Dothan,AL,(M) - Mixed Crowds,"Bars/Clubs,Hotels",,,8/29/2019 1:15pm,8/29/2019 1:27pm
17,Stein & Still,,215 Conti St. ,Mobile,AL,(M) - Mixed Crowds,Bars/Clubs,,,8/29/2019 1:15pm,8/29/2019 1:27pm
13,Escape Lounge,,1313 Memorial Pkwy,Huntsville,AL,(*) - Very popular,Bars/Clubs,,,8/29/2019 1:15pm,8/31/2019 11:52am
11,Why Not Eat Here Cafe,,220 E. Moulton St.,Decatur,AL,,Restaurant,,,8/29/2019 1:15pm,8/29/2019 1:27pm
12,Black Forest,,3709 Governors Dr.  ,Huntsville,AL,,Bars/Clubs,,,8/29/2019 1:15pm,8/31/2019 11:52am
10,Pop's Cafe,Inquire Locally,,Dothan,AL,"""(R) - Restaurant, usually serving dinner. A '*' after this symbol does not necessarily indicate quality of food served, but popularity of the place. "",""(C) - Coffee, soft drinks and sometimes food -- usually open late after bars have closed"",(M) - Mixed Crowds",Restaurant,,,8/29/2019 1:15pm,8/29/2019 1:21pm
16,Princess House Lounge,,254 Government St. ,Mobile,AL,(*) - Very popular,Bars/Clubs,,,8/29/2019 1:15pm,8/29/2019 1:27pm
15,Flamingo Room,Mobile Steak House,170 S. St. Francis,Mobile,AL,(*) - Very popular,Bars/Clubs,,,8/29/2019 1:15pm,8/29/2019 1:27pm
14,Club Royal,,78 S. Royal,Mobile,AL,(M) - Mixed Crowds,Bars/Clubs,,,8/29/2019 1:15pm,8/29/2019 1:27pm
23,Peacock Lounge,,220 Central Ave,Hot Springs,AR,,,,,8/29/2019 1:15pm,8/30/2019 2:19pm
19,Chucker,,2121 6th St. ,Tuscaloosa,AL,(*) - Very popular,Bars/Clubs,,,8/29/2019 1:15pm,8/30/2019 8:40am
22,Mollie's,,360 Central Ave,Hot Springs,AR,"""(R) - Restaurant, usually serving dinner. A '*' after this symbol does not necessarily indicate quality of food served, but popularity of the place. "",(M) - Mixed Crowds",Restaurant,,,8/29/2019 1:15pm,8/30/2019 2:19pm
21,Squeeze Inn,,8 N. 6th St.,Ft. Smith,AR,,Hotels,,,8/29/2019 1:15pm,8/30/2019 2:19pm
24,The Club,,236 Quachita Ave,Hot Springs,AR,"(P) - Private club - Inquire locally to admission,(D) - Dancing,""(G) - Girls, but rarely exclusively"",(*) - Very popular",Bars/Clubs,,,8/29/2019 1:15pm,8/30/2019 2:19pm
20,Stafford Hotel,(Downstairs),3209 9th St,Tuscaloosa,AL,(M) - Mixed Crowds,Hotels,,,8/29/2019 1:15pm,8/30/2019 8:40am
33,Yum Yum Tree,(Hwy 1 in Holly HIll),703 Ridgewood,Daytona Beach,FL,(*) - Very popular,Bars/Clubs,,,8/29/2019 1:15pm,8/30/2019 8:50am
29,Nightengale,,24 S. Garden Ave,Clearwater,FL,(M) - Mixed Crowds,Bars/Clubs,,,8/29/2019 1:15pm,8/30/2019 8:50am
32,Hollywood Bar,,415 Main St. ,Daytona Beach,FL,"(S) - Shows - impersonators or record pantomime acts - often touristy,(*) - Very popular",Bars/Clubs,,,8/29/2019 1:15pm,8/30/2019 8:50am
31,Mouse Trap,,5600 N. Atlantic Ave,Cocoa Beach,FL,,Bars/Clubs,,,8/29/2019 1:15pm,8/30/2019 8:50am
36,Gulfstream Hotel,,214 S.W. 1st Ave,Ft. Lauderdale,FL,"(M) - Mixed Crowds,""(H) - Hotel, motel, or other overnight accomodations""",Hotels,,,8/29/2019 1:15pm,8/30/2019 8:49am
39,The Saloon,,219 S.W. 1st Ave,Ft. Lauderdale,FL,(*) - Very popular,Bars/Clubs,,,8/29/2019 1:15pm,8/30/2019 8:50am
40,Venture Inn,,1791 W. Broward Blvd,Ft. Lauderdale,FL,"(D) - Dancing,(YC) - Young and/or collegiate types,(*) - Very popular","Hotels,Bars/Clubs",,,8/29/2019 1:15pm,8/30/2019 8:50am
34,Elbo Room,(Ft. Lauderdale Beach),241 S. Atlantic ,Ft. Lauderdale,FL,"(YC) - Young and/or collegiate types,(M) - Mixed Crowds",Bars/Clubs,,,8/29/2019 1:15pm,8/30/2019 8:50am
38,The Gym Steam Baths ,,901 S.W. 27th ,Ft. Lauderdale,FL,,Baths,,,8/29/2019 1:15pm,8/30/2019 8:49am
47,Top's Annex,,2027 Pembroke Rd. ,Hollywood,FL,"(D) - Dancing,(YC) - Young and/or collegiate types,(*) - Very popular",Bars/Clubs,,Has an HIP designation but there is no abbreviation in toc for this. Need to see if there are more like this and come back to.,8/29/2019 1:15pm,8/30/2019 9:03am
41,Zanzibar,,214 S.W. 1st Ave.,Ft. Lauderdale,FL,,Bars/Clubs,,,8/29/2019 1:15pm,8/30/2019 8:50am
45,Keith's Cruise Room,(Old Dixie Hwy),813 S.E. 1st Ave.,Hallandale,FL,"(D) - Dancing,(*) - Very popular",Bars/Clubs,,,8/29/2019 1:15pm,8/30/2019 9:03am
49,Howard's,,238 W. Adams ,Jacksonville,FL,(M) - Mixed Crowds,Bars/Clubs,,,8/29/2019 1:15pm,8/30/2019 9:03am
46,Our Place,,800 N. Federal Hwy.,Hallandale,FL,"""(G) - Girls, but rarely exclusively""",Bars/Clubs,,,8/29/2019 1:15pm,8/30/2019 9:03am
48,Bo's Reef,,8606 Phillips Hwy ,Jacksonville,FL,"""(G) - Girls, but rarely exclusively"",(B) - Blacks predominate",Bars/Clubs,,,8/29/2019 1:15pm,8/30/2019 9:03am
44,Palace club,,4251 S. Main St ,Gainsville,FL,"(P) - Private club - Inquire locally to admission,(D) - Dancing,(S) - Shows - impersonators or record pantomime acts - often touristy,(*) - Very popular",Bars/Clubs,,,8/29/2019 1:15pm,8/30/2019 8:51am
51,Offbeat,,2952 Roosevelt Blvd,Jacksonville,FL,"(S) - Shows - impersonators or record pantomime acts - often touristy,(D) - Dancing,(*) - Very popular",Bars/Clubs,,,8/29/2019 1:15pm,8/30/2019 9:03am
52,Tides End,"(open Sundays)
",412 Boardwalk ,Jacksonville Beach,FL,(M) - Mixed Crowds,Bars/Clubs,,,8/29/2019 1:15pm,8/30/2019 9:03am
50,Knights Out,,9876 Atalntics Blvd,Jacksonville,FL,"(YC) - Young and/or collegiate types,(D) - Dancing,(*) - Very popular",Bars/Clubs,,,8/29/2019 1:15pm,8/30/2019 9:03am
54,Brown Derby,,601 Whitehead,Key West,FL,"(M) - Mixed Crowds,(RT) - 'Raunchy Types' - usually downtow-type establishments  - can mean 'rent or commecial'",Bars/Clubs,,,8/30/2019 9:00am,8/31/2019 12:02pm
56,John Brown's Bar,,224 Duval,Key West,FL,,Bars/Clubs,,,8/30/2019 9:00am,8/30/2019 9:09am
57,Music Box,,628 Lake Ave,Lake Worth,FL,(*) - Very popular,Bars/Clubs,,,8/30/2019 9:00am,8/30/2019 9:09am
55,Captain Tony's,,428 Green St,Key West,FL,"(M) - Mixed Crowds,(*) - Very popular",Bars/Clubs,,,8/30/2019 9:00am,8/30/2019 9:03am
58,Cactus Lounge,,2041 N.E. Biscanyne,Miami,FL,(*) - Very popular,Bars/Clubs,,,8/30/2019 9:00am,8/30/2019 9:09am
59,Candlelight,(Coconut grove),3131 Commodore Plaza,Miami,FL,"""(R) - Restaurant, usually serving dinner. A '*' after this symbol does not necessarily indicate quality of food served, but popularity of the place. "",(M) - Mixed Crowds,(PE) - Pretty elegant - jacket & tie may be required",Restaurant,,,8/30/2019 9:00am,8/30/2019 9:08am
