"ID","title","description","streetaddress","city","state","amenityfeatures","type","unclearaddress","notes","dateadded","lastmodified","Year","full.address","lon","lat","geoAddress"
1,"Fire Pit","","1915 5th Avenue North","Birmingham","AL","(*) - Very popular","Bars/Clubs","",NA,"8/13/2019 11:22pm","8/13/2019 11:29pm","1965","1915 5th Avenue North, Birmingham, AL",-86.8089254,33.517555,"1915 5th ave n, birmingham, al 35203, usa"
2,"Jewel Box","Dinkler-Tutwiler Hotel","20th St & 5th Avenue North","Birmingham","AL","(M) - Mixed Crowds,(PE) - Pretty elegant - jacket & tie may be required","Bars/Clubs","",NA,"8/13/2019 11:23pm","8/13/2019 11:29pm","1965","20th St & 5th Avenue North, Birmingham, AL",-94.9503906,39.3188635,"202 n 20th st, leavenworth, ks 66048, usa"
3,"Mammy's Pancake House","","2151 Highland Ave S.","Birmingham","AL","""(C) - Coffee, soft drinks and sometimes snacks""","Restaurant","",NA,"8/13/2019 11:23pm","8/13/2019 11:30pm","1965","2151 Highland Ave S., Birmingham, AL",-86.7917065,33.4998391,"2151 highland ave, birmingham, al 35205, usa"
4,"Red Room","Redmont Hotel","2101 5th Avenue North","Birmingham","AL","","Bars/Clubs","",NA,"8/13/2019 11:23pm","8/13/2019 11:30pm","1965","2101 5th Avenue North, Birmingham, AL",-86.8063813,33.5187153,"2101 5th ave n, birmingham, al 35203, usa"
5,"Club Royal","","78 S Royal","Mobile","AL","(M) - Mixed Crowds","Bars/Clubs","",NA,"8/13/2019 11:23pm","8/13/2019 11:47pm","1965","78 S Royal, Mobile, AL",-88.0407075,30.6904988,"78 s royal st, mobile, al 36602, usa"
6,"Flamingo Room","Mobile Steak House","170 S St. Francis","Mobile","AL","","Bars/Clubs","",NA,"8/13/2019 11:23pm","8/13/2019 11:47pm","1965","170 S St. Francis, Mobile, AL",-88.0431478,30.6929733,"170 st francis st, mobile, al 36602, usa"
7,"Key Hole","","80 Commerce","Montgomery","AL","","Bars/Clubs","",NA,"8/13/2019 11:23pm","8/13/2019 11:48pm","1965","80 Commerce, Montgomery, AL",-86.3103184,32.3789826,"80 commerce st, montgomery, al 36104, usa"
8,"Jefferson Davis Hotel Bar","","Catoma & Montgomery","Montgomery","AL","(M) - Mixed Crowds","Bars/Clubs","",NA,"8/13/2019 11:23pm","8/13/2019 11:48pm","1965","Catoma & Montgomery, Montgomery, AL",-86.2138246,32.3106266,"6101 brewbaker blvd, montgomery, al 36116, usa"
9,"Brown Jug","","111 E. 13th St.","Little Rock","AR","(*) - Very popular","Bars/Clubs","",NA,"8/13/2019 11:23pm","8/13/2019 11:57pm","1965","111 E. 13th St., Little Rock, AR",-92.2725154,34.7362986,"111 e 13th st, little rock, ar 72202, usa"
10,"Ocean Club","","14 Kendall St.","Clearwater","FL","","Bars/Clubs","",NA,"8/13/2019 11:23pm","8/13/2019 11:58pm","1965","14 Kendall St., Clearwater, FL",-82.8272503,27.9856914,"14 kendall st, clearwater, fl 33767, usa"
11,"Hollywood","","415 Main St.","Daytona Beach","FL","","Bars/Clubs","",NA,"8/13/2019 11:23pm","8/13/2019 11:58pm","1965","415 Main St., Daytona Beach, FL",-81.0116692,29.2257147,"415 main st, daytona beach, fl 32118, usa"
12,"Yum Yum Tree","(Hwy 1 in Holly Hill)","703 Ridgewood","Daytona Beach","FL","(*) - Very popular","Bars/Clubs","",NA,"8/13/2019 11:23pm","8/14/2019 12:00am","1965","703 Ridgewood, Daytona Beach, FL",-81.0369759,29.2382418,"703 ridgewood ave, holly hill, fl 32117, usa"
13,"Elbo Room","(Fort Lauderdale Beach)","241 S Atlantic","Ft. Lauderdale","FL","(M) - Mixed Crowds","Bars/Clubs","",NA,"8/13/2019 11:23pm","8/14/2019 12:01am","1965","241 S Atlantic, Ft. Lauderdale, FL",-80.1047966,26.1194696,"241 s atlantic blvd, fort lauderdale, fl 33316, usa"
14,"Val's","","4003 N Andrews","Ft. Lauderdale","FL","(P) - Private club - Inquire locally to admission,(D) - Dancing,(*) - Very popular","Bars/Clubs","",NA,"8/13/2019 11:23pm","8/14/2019 12:01am","1965","4003 N Andrews, Ft. Lauderdale, FL",-80.1470669,26.1760187,"4003 n andrews ave, oakland park, fl 33309, usa"
15,"Wine-N-Stein","","3919 S State Rd","Ft. Lauderdale","FL","","Bars/Clubs","",NA,"8/13/2019 11:23pm","8/14/2019 12:01am","1965","3919 S State Rd, Ft. Lauderdale, FL",-80.1373174,26.1224386,"fort lauderdale, fl, usa"
16,"Zanzibar","","214 SW 1st Ave","Ft. Lauderdale","FL","(*) - Very popular","Bars/Clubs","",NA,"8/13/2019 11:23pm","8/14/2019 12:01am","1965","214 SW 1st Ave, Ft. Lauderdale, FL",-80.1443633,26.12011,"214 sw 1st ave, fort lauderdale, fl 33301, usa"
